127.0.0.1 - - [03/Dec/2020:15:55:30 +0900] "GET / HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:55:44 +0900] "GET / HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:55:44 +0900] "GET /resources/plugins/jquery/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:55:44 +0900] "GET /resources/css/semantic.min.css HTTP/1.1" 200 628266
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:55:44 +0900] "GET /resources/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 160403
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:55:45 +0900] "GET /resources/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:55:45 +0900] "GET /resources/css/simple-sidebar.css HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:55:45 +0900] "GET /resources/js/jquery.serialize-object.js HTTP/1.1" 200 3389
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:55:45 +0900] "GET /resources/css/ionicons.min.css HTTP/1.1" 200 51284
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:55:45 +0900] "GET /resources/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 81084
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:55:45 +0900] "GET /resources/js/semantic.min.js HTTP/1.1" 200 275730
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:55:45 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:55:50 +0900] "POST /member/login.do HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:55:50 +0900] "GET /member/login.do HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:55:53 +0900] "POST /member/login.do HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:55:54 +0900] "GET /main.do HTTP/1.1" 200 5234
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:55:54 +0900] "GET /resources/img/loginUser1.png HTTP/1.1" 200 18806
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:55:58 +0900] "GET /profile.do HTTP/1.1" 200 15851
