127.0.0.1 - - [15/Aug/2021:10:00:44 +0900] "GET / HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:01:56 +0900] "GET /main.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:01:56 +0900] "GET /member/login.do HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:01:56 +0900] "GET /resources/plugins/jquery/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:01:56 +0900] "GET /resources/css/semantic.min.css HTTP/1.1" 200 628266
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:01:56 +0900] "GET /resources/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 81084
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:01:56 +0900] "GET /resources/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 160403
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:01:56 +0900] "GET /resources/css/simple-sidebar.css HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:01:56 +0900] "GET /resources/js/jquery.serialize-object.js HTTP/1.1" 200 3389
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:01:56 +0900] "GET /resources/css/ionicons.min.css HTTP/1.1" 200 51284
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:01:56 +0900] "GET /resources/js/semantic.min.js HTTP/1.1" 200 275730
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:01:56 +0900] "GET /resources/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:01:56 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:03 +0900] "POST /member/login.do HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:03 +0900] "GET /main.do HTTP/1.1" 200 5234
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:04 +0900] "GET /resources/img/loginUser1.png HTTP/1.1" 200 18806
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:07 +0900] "GET /member/login.do HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:16 +0900] "GET /member/register.do HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:20 +0900] "GET /member/login.do HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:21 +0900] "GET /member/register.do HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:22 +0900] "GET /member/login.do HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:23 +0900] "GET /member/register.do HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:26 +0900] "GET /member/login.do HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:32 +0900] "POST /member/login.do HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:32 +0900] "GET /main.do HTTP/1.1" 200 5234
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:35 +0900] "GET /timeline.do HTTP/1.1" 200 8764
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:35 +0900] "GET /resources/css/AdminLTE.css HTTP/1.1" 200 85849
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:35 +0900] "GET /resources/img/user1-128x128.jpg HTTP/1.1" 200 2879
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:35 +0900] "GET /resources/img/photo2.png HTTP/1.1" 200 424395
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:35 +0900] "GET /resources/img/user3-128x128.jpg HTTP/1.1" 200 3511
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:35 +0900] "GET /resources/img/user4-128x128.jpg HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:35 +0900] "GET /resources/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:38 +0900] "GET /board/boardlist.do HTTP/1.1" 200 8021
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:40 +0900] "GET /board/boardwrite/u/1.do HTTP/1.1" 200 9035
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:40 +0900] "GET /resources/plugins/ckeditor/ckeditor.js HTTP/1.1" 200 518088
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:41 +0900] "GET /resources/plugins/ckeditor/config.js?t=G14E HTTP/1.1" 200 1321
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:41 +0900] "GET /resources/plugins/ckeditor/skins/moono/editor.css?t=G14E HTTP/1.1" 200 30284
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:41 +0900] "GET /resources/plugins/ckeditor/lang/ko.js?t=G14E HTTP/1.1" 200 11819
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:41 +0900] "GET /resources/plugins/ckeditor/styles.js?t=G14E HTTP/1.1" 200 3484
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:41 +0900] "GET /resources/plugins/ckeditor/skins/moono/icons.png HTTP/1.1" 200 10227
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:41 +0900] "GET /resources/plugins/ckeditor/contents.css?t=G14E HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:42 +0900] "GET /board/boardlist.do HTTP/1.1" 200 8021
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:44 +0900] "GET /board/boardwrite/i/0.do HTTP/1.1" 200 8875
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:46 +0900] "GET /board/boardlist.do HTTP/1.1" 200 8021
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:49 +0900] "GET /calendar.do HTTP/1.1" 200 9741
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:49 +0900] "GET /plugins/fullcalendar/fullcalendar.min.css HTTP/1.1" 404 1164
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:49 +0900] "GET /plugins/fullcalendar/fullcalendar.min.js HTTP/1.1" 404 1163
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:49 +0900] "GET /plugins/datepicker/bootstrap-datepicker.js HTTP/1.1" 404 1165
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:49 +0900] "GET /plugins/fullcalendar/fullcalendar.min.js HTTP/1.1" 404 1163
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:49 +0900] "GET /plugins/fullcalendar/fullcalendar.min.css HTTP/1.1" 404 1164
0:0:0:0:0:0:0:1 - - [15/Aug/2021:10:02:49 +0900] "GET /plugins/datepicker/bootstrap-datepicker.js HTTP/1.1" 404 1165
